rho,metric_mean,labeled_size,unlabeled_size,method,method_label,rejection_count,num_trials,num_permutations,type_i_error
0.7,0.0,20,800,ppi_perm_uncentered,PPI Perm. (uncentered),493,10000,1000,0.0493
0.7,0.0,40,800,ppi_perm,PPI Perm.,469,10000,1000,0.0469
0.7,0.0,40,800,ppi_perm_uncentered,PPI Perm. (uncentered),469,10000,1000,0.0469
0.7,0.0,60,800,ppi_perm,PPI Perm.,491,10000,1000,0.0491
0.7,0.0,60,800,ppi_perm_uncentered,PPI Perm. (uncentered),500,10000,1000,0.05
0.7,0.0,80,800,ppi_perm,PPI Perm.,504,10000,1000,0.0504
0.7,0.0,80,800,ppi_perm_uncentered,PPI Perm. (uncentered),500,10000,1000,0.05
0.7,0.0,100,800,ppi_perm,PPI Perm.,471,10000,1000,0.0471
0.7,0.0,100,800,ppi_perm_uncentered,PPI Perm. (uncentered),475,10000,1000,0.0475
0.7,0.0,120,800,ppi_perm,PPI Perm.,462,10000,1000,0.0462
0.7,0.0,120,800,ppi_perm_uncentered,PPI Perm. (uncentered),468,10000,1000,0.0468
0.7,0.0,140,800,ppi_perm,PPI Perm.,461,10000,1000,0.0461
0.7,0.0,140,800,ppi_perm_uncentered,PPI Perm. (uncentered),467,10000,1000,0.0467
0.7,0.0,160,800,ppi_perm,PPI Perm.,518,10000,1000,0.0518
0.7,0.0,160,800,ppi_perm_uncentered,PPI Perm. (uncentered),520,10000,1000,0.052
0.7,0.0,180,800,ppi_perm,PPI Perm.,491,10000,1000,0.0491
0.7,0.0,180,800,ppi_perm_uncentered,PPI Perm. (uncentered),492,10000,1000,0.0492
0.7,0.0,200,800,ppi_perm,PPI Perm.,542,10000,1000,0.0542
0.7,0.0,200,800,ppi_perm_uncentered,PPI Perm. (uncentered),544,10000,1000,0.0544
0.7,1.0,20,800,ppi_perm,PPI Perm.,499,10000,1000,0.0499
0.7,1.0,20,800,ppi_perm_uncentered,PPI Perm. (uncentered),484,10000,1000,0.0484
0.7,1.0,40,800,ppi_perm,PPI Perm.,458,10000,1000,0.0458
0.7,1.0,40,800,ppi_perm_uncentered,PPI Perm. (uncentered),356,10000,1000,0.0356
