dataset,test_set,language_pair,metric,total_saved_annotations,mean_saved_annotations,num_valid_saving_pairs,num_retained_pair_metric_rows,num_original_pair_metric_rows,num_excluded_human_unreachable_pairs,ppsr,ppsr_num_pairs,num_retained_pairs,saving_rank,ppsr_rank
wmt22 en-ru,wmt22,en-ru,COMET-QE-src:seg,374.0,3.8556701030927836,97,97,105,8,0.056872979827190084,97,97,14.0,15.0
wmt22 en-ru,wmt22,en-ru,COMETKiwi-src:seg,463.0,4.77319587628866,97,97,105,8,0.0681768454905252,97,97,11.0,10.0
wmt22 en-ru,wmt22,en-ru,Cross-QE-src:seg,398.0,4.103092783505154,97,97,105,8,0.06270043073126104,97,97,13.0,12.0
wmt22 en-ru,wmt22,en-ru,HWTSC-TLM-src:seg,91.0,0.9381443298969072,97,97,105,8,0.011578605211155214,97,97,29.0,29.0
wmt22 en-ru,wmt22,en-ru,HWTSC-Teacher-Sim-src:seg,103.0,1.0618556701030928,97,97,105,8,0.013094818884324276,97,97,28.0,28.0
wmt22 en-ru,wmt22,en-ru,KG-BERTScore-src:seg,112.0,1.1546391752577319,97,97,105,8,0.013647457724064473,97,97,27.0,27.0
wmt22 en-ru,wmt22,en-ru,MATESE-QE-src:seg,132.0,1.3608247422680413,97,97,105,8,0.0414005217949468,97,97,26.0,17.0
wmt22 en-ru,wmt22,en-ru,MATESE-refA:seg,229.0,2.3608247422680413,97,97,105,8,0.06313740651842303,97,97,19.0,11.0
wmt22 en-ru,wmt22,en-ru,MEE-refA:seg,210.0,2.1649484536082473,97,97,105,8,0.015805957609907672,97,97,23.0,25.0
wmt22 en-ru,wmt22,en-ru,MEE2-refA:seg,222.0,2.288659793814433,97,97,105,8,0.019240475143596735,97,97,20.0,22.0
wmt22 en-ru,wmt22,en-ru,MEE4-refA:seg,267.0,2.752577319587629,97,97,105,8,0.022654007297729917,97,97,18.0,20.0
wmt22 en-ru,wmt22,en-ru,MS-COMET-22-refA:seg,434.0,4.474226804123711,97,97,105,8,0.05916366384757911,97,97,12.0,14.0
wmt22 en-ru,wmt22,en-ru,MS-COMET-QE-22-src:seg,298.0,3.0721649484536084,97,97,105,8,0.047616042588713166,97,97,15.0,16.0
wmt22 en-ru,wmt22,en-ru,REUSE-src:seg,38.0,0.3917525773195876,97,97,105,8,0.005457595411138302,97,97,30.0,30.0
wmt22 en-ru,wmt22,en-ru,UniTE-ref-refA:seg,795.0,8.195876288659793,97,97,105,8,0.09435251596868903,97,97,6.0,6.0
wmt22 en-ru,wmt22,en-ru,UniTE-refA:seg,848.0,8.742268041237113,97,97,105,8,0.09948209117547752,97,97,3.0,4.0
wmt22 en-ru,wmt22,en-ru,UniTE-src-src:seg,520.0,5.360824742268041,97,97,105,8,0.0732403235725085,97,97,9.0,8.0
wmt22 en-ru,wmt22,en-ru,YiSi-1-refA:seg,287.0,2.9587628865979383,97,97,105,8,0.03400130580424107,97,97,17.0,18.0
wmt22 en-ru,wmt22,en-ru,chrF-refA:seg,217.0,2.2371134020618557,97,97,105,8,0.02050403043916976,97,97,22.0,21.0
wmt22 en-ru,wmt22,en-ru,f101spBLEU-refA:seg,208.0,2.1443298969072164,97,97,105,8,0.01852208881093216,97,97,24.0,24.0
wmt22 en-ru,wmt22,en-ru,f200spBLEU-refA:seg,221.0,2.2783505154639174,97,97,105,8,0.018569337739730296,97,97,21.0,23.0
wmt22 en-ru,wmt22,en-ru,metricx_xl_DA_2019-refA:seg,698.0,7.195876288659794,97,97,105,8,0.0893765670593545,97,97,7.0,7.0
wmt22 en-ru,wmt22,en-ru,metricx_xl_MQM_2020-refA:seg,920.0,9.484536082474227,97,97,105,8,0.13309695446606026,97,97,2.0,2.0
wmt22 en-ru,wmt22,en-ru,metricx_xxl_DA_2019-refA:seg,808.0,8.329896907216495,97,97,105,8,0.0965479842094131,97,97,4.0,5.0
wmt22 en-ru,wmt22,en-ru,metricx_xxl_MQM_2020-refA:seg,1027.0,10.587628865979381,97,97,105,8,0.13947825633685573,97,97,1.0,1.0
wmt22 zh-en,wmt22,zh-en,BERTScore-refA:seg,407.0,5.355263157894737,76,76,91,15,0.034685014962424515,76,76,16.0,17.0
wmt22 zh-en,wmt22,zh-en,BLEU-refA:seg,82.0,1.0789473684210527,76,76,91,15,0.0057876486420333035,76,76,27.0,30.0
wmt22 zh-en,wmt22,zh-en,BLEURT-20-refA:seg,678.0,8.921052631578947,76,76,91,15,0.05388623282551534,76,76,10.0,12.0
wmt22 zh-en,wmt22,zh-en,COMET-20-refA:seg,450.0,5.921052631578948,76,76,91,15,0.03947131960689659,76,76,15.0,16.0
wmt22 zh-en,wmt22,zh-en,COMET-22-refA:seg,1139.0,14.986842105263158,76,76,91,15,0.0993344863814254,76,76,1.0,1.0
wmt22 zh-en,wmt22,zh-en,COMET-QE-src:seg,452.0,5.947368421052632,76,76,91,15,0.042577806596577124,76,76,14.0,14.0
wmt22 zh-en,wmt22,zh-en,COMETKiwi-src:seg,686.0,9.026315789473685,76,76,91,15,0.0726875892892665,76,76,9.0,6.0
wmt22 zh-en,wmt22,zh-en,Cross-QE-src:seg,579.0,7.618421052631579,76,76,91,15,0.06171359398099472,76,76,11.0,9.0
wmt22 zh-en,wmt22,zh-en,HWTSC-TLM-src:seg,5.0,0.06578947368421052,76,76,91,15,0.00634392694738664,76,76,30.0,29.0
wmt22 zh-en,wmt22,zh-en,HWTSC-Teacher-Sim-src:seg,29.0,0.3815789473684211,76,76,91,15,0.01178623198744168,76,76,28.0,23.0
wmt22 zh-en,wmt22,zh-en,KG-BERTScore-src:seg,21.0,0.27631578947368424,76,76,91,15,0.009941235812132836,76,76,29.0,25.0
wmt22 zh-en,wmt22,zh-en,MATESE-QE-src:seg,278.0,3.6578947368421053,76,76,91,15,0.04252743309981802,76,76,20.0,15.0
wmt22 zh-en,wmt22,zh-en,MATESE-refA:seg,509.0,6.697368421052632,76,76,91,15,0.059617748650417,76,76,12.0,10.0
wmt22 zh-en,wmt22,zh-en,MEE-refA:seg,116.0,1.5263157894736843,76,76,91,15,0.00842999048452972,76,76,25.0,26.0
wmt22 zh-en,wmt22,zh-en,MEE2-refA:seg,217.0,2.8552631578947367,76,76,91,15,0.014396702876285168,76,76,22.0,22.0
