dataset,test_set,language_pair,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,num_finite_metrics,num_metrics,total_valid_pair_metric_cases,total_retained_pair_metric_cases,total_original_pair_metric_cases,total_excluded_human_unreachable_cases
wmt22 en-de,wmt22,en-de,0.9867506210644945,1.8506582839435345e-24,0.9701612903225809,2.1570955276816242e-19,31,31,2418,2418,2821,403
wmt22 en-ru,wmt22,en-ru,0.9574607365611381,1.19900164038668e-16,0.9559510567296997,1.9355402373482246e-16,30,30,2910,2910,3150,240
wmt22 zh-en,wmt22,zh-en,0.9657547656426083,1.5452641555187238e-18,0.9721774193548387,7.923584544896002e-20,31,31,2356,2356,2821,465
wmt23 en-zh,wmt23,en-zh,0.8593769471298236,7.694054894793819e-11,0.8558331448309907,1.1155760469307546e-10,34,34,2924,2924,3570,646
wmt23 ja-en,wmt23,ja-en,0.9744760827088311,5.489755378557329e-23,0.9644257703081234,1.2198898903139339e-20,35,35,4165,4165,4760,595
wmt24 cs-uk,wmt24,cs-uk,0.9893876912371432,8.968165121660143e-21,0.9784615384615385,2.915946302326839e-17,25,25,1150,1150,1375,225
