dataset,test_set,language_pair,pair_index,system_a,system_b,metric,annotations_saved,corr_sq,human_threshold_status
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,MEE-refA:seg,4.0,0.015353611808389967,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,MEE2-refA:seg,2.0,0.018996248270873657,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,MEE4-refA:seg,6.0,0.022252441834756758,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,MS-COMET-22-refA:seg,3.0,0.01396594741434076,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,MS-COMET-QE-22-src:seg,0.0,0.0035152005102657272,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,REUSE-src:seg,4.0,0.0014121698572540716,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,SEScore-refA:seg,10.0,0.04932210335540504,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,UniTE-ref-refA:seg,20.0,0.07161814023635214,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,UniTE-refA:seg,18.0,0.06504232752927275,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,UniTE-src-src:seg,10.0,0.028118375766314988,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,YiSi-1-refA:seg,10.0,0.027772392157782443,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,chrF-refA:seg,9.0,0.02616840435066992,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,f101spBLEU-refA:seg,5.0,0.01733590512356076,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,f200spBLEU-refA:seg,4.0,0.017405070830106832,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,metricx_xl_DA_2019-refA:seg,22.0,0.11310723120366241,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,metricx_xl_MQM_2020-refA:seg,25.0,0.1373678384760391,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,metricx_xxl_DA_2019-refA:seg,24.0,0.11019109927236939,brentq
wmt22 en-de,wmt22,en-de,4,Online-W,bleurt_bestmbr,metricx_xxl_MQM_2020-refA:seg,14.0,0.09324939556275921,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,BERTScore-refA:seg,1.0,0.02346786124678021,brentq
